timestamp,price
2026-03-01T10:00:00,100.02
2026-03-01T10:00:01,100.01
2026-03-01T10:00:02,100.01
2026-03-01T10:00:03,99.98
2026-03-01T10:00:04,100.02
2026-03-01T10:00:05,100.02
2026-03-01T10:00:06,99.99
2026-03-01T10:00:07,99.98
2026-03-01T10:00:08,99.97
2026-03-01T10:00:09,99.98
2026-03-01T10:00:10,100.02
2026-03-01T10:00:11,100.05
2026-03-01T10:00:12,100.0
2026-03-01T10:00:13,99.99
2026-03-01T10:00:14,100.03
2026-03-01T10:00:15,99.99
2026-03-01T10:00:16,99.95
2026-03-01T10:00:17,99.9
2026-03-01T10:00:18,99.9
2026-03-01T10:00:19,99.92
2026-03-01T10:00:20,99.87
2026-03-01T10:00:21,99.9
2026-03-01T10:00:22,99.91
2026-03-01T10:00:23,99.86
2026-03-01T10:00:24,99.83
2026-03-01T10:00:25,99.82
2026-03-01T10:00:26,99.81
2026-03-01T10:00:27,99.85
2026-03-01T10:00:28,99.86
2026-03-01T10:00:29,99.89
2026-03-01T10:00:30,99.88
2026-03-01T10:00:31,99.92
2026-03-01T10:00:32,99.93
2026-03-01T10:00:33,99.91
2026-03-01T10:00:34,99.96
2026-03-01T10:00:35,99.94
2026-03-01T10:00:36,99.98
2026-03-01T10:00:37,99.97
2026-03-01T10:00:38,99.97
2026-03-01T10:00:39,99.95
2026-03-01T10:00:40,99.92
2026-03-01T10:00:41,99.95
2026-03-01T10:00:42,99.98
2026-03-01T10:00:43,99.99
2026-03-01T10:00:44,100.0
2026-03-01T10:00:45,99.95
2026-03-01T10:00:46,99.97
2026-03-01T10:00:47,99.95
2026-03-01T10:00:48,99.93
2026-03-01T10:00:49,99.94
2026-03-01T10:00:50,99.96
2026-03-01T10:00:51,99.94
2026-03-01T10:00:52,99.9
2026-03-01T10:00:53,99.88
2026-03-01T10:00:54,99.84
2026-03-01T10:00:55,99.81
2026-03-01T10:00:56,99.76
2026-03-01T10:00:57,99.76
2026-03-01T10:00:58,99.75
2026-03-01T10:00:59,99.77
2026-03-01T10:01:00,99.79
2026-03-01T10:01:01,99.8
2026-03-01T10:01:02,99.78
2026-03-01T10:01:03,99.76
2026-03-01T10:01:04,99.74
2026-03-01T10:01:05,99.75
2026-03-01T10:01:06,99.77
2026-03-01T10:01:07,99.78
2026-03-01T10:01:08,99.82
2026-03-01T10:01:09,99.87
2026-03-01T10:01:10,99.83
2026-03-01T10:01:11,99.83
2026-03-01T10:01:12,99.86
2026-03-01T10:01:13,99.84
2026-03-01T10:01:14,99.81
2026-03-01T10:01:15,99.78
2026-03-01T10:01:16,99.81
2026-03-01T10:01:17,99.77
2026-03-01T10:01:18,99.79
2026-03-01T10:01:19,99.79
2026-03-01T10:01:20,99.83
2026-03-01T10:01:21,99.86
2026-03-01T10:01:22,99.82
2026-03-01T10:01:23,99.87
2026-03-01T10:01:24,99.91
2026-03-01T10:01:25,99.9
2026-03-01T10:01:26,99.87
2026-03-01T10:01:27,99.89
2026-03-01T10:01:28,99.88
2026-03-01T10:01:29,99.93
2026-03-01T10:01:30,99.89
2026-03-01T10:01:31,99.89
2026-03-01T10:01:32,99.93
2026-03-01T10:01:33,99.96
2026-03-01T10:01:34,100.0
2026-03-01T10:01:35,99.97
2026-03-01T10:01:36,99.96
2026-03-01T10:01:37,100.0
2026-03-01T10:01:38,100.03
2026-03-01T10:01:39,99.99
2026-03-01T10:01:40,99.96
2026-03-01T10:01:41,99.99
2026-03-01T10:01:42,100.01
2026-03-01T10:01:43,100.05
2026-03-01T10:01:44,100.06
2026-03-01T10:01:45,100.02
2026-03-01T10:01:46,100.0
2026-03-01T10:01:47,100.02
2026-03-01T10:01:48,100.0
2026-03-01T10:01:49,99.95
2026-03-01T10:01:50,99.93
2026-03-01T10:01:51,99.94
2026-03-01T10:01:52,99.9
2026-03-01T10:01:53,99.89
2026-03-01T10:01:54,99.92
2026-03-01T10:01:55,99.9
2026-03-01T10:01:56,99.93
2026-03-01T10:01:57,99.97
2026-03-01T10:01:58,99.92
2026-03-01T10:01:59,99.87
2026-03-01T10:02:00,99.86
2026-03-01T10:02:01,99.84
2026-03-01T10:02:02,99.83
2026-03-01T10:02:03,99.85
2026-03-01T10:02:04,99.9
2026-03-01T10:02:05,99.86
2026-03-01T10:02:06,99.82
2026-03-01T10:02:07,99.82
2026-03-01T10:02:08,99.85
2026-03-01T10:02:09,99.83
2026-03-01T10:02:10,99.82
2026-03-01T10:02:11,99.77
2026-03-01T10:02:12,99.72
2026-03-01T10:02:13,99.68
2026-03-01T10:02:14,99.69
2026-03-01T10:02:15,99.67
2026-03-01T10:02:16,99.64
2026-03-01T10:02:17,99.66
2026-03-01T10:02:18,99.64
2026-03-01T10:02:19,99.62
2026-03-01T10:02:20,99.59
2026-03-01T10:02:21,99.63
2026-03-01T10:02:22,99.62
2026-03-01T10:02:23,99.58
2026-03-01T10:02:24,99.62
2026-03-01T10:02:25,99.61
2026-03-01T10:02:26,99.63
2026-03-01T10:02:27,99.61
2026-03-01T10:02:28,99.6
2026-03-01T10:02:29,99.55
2026-03-01T10:02:30,99.56
2026-03-01T10:02:31,99.58
2026-03-01T10:02:32,99.58
2026-03-01T10:02:33,99.53
2026-03-01T10:02:34,99.53
2026-03-01T10:02:35,99.57
2026-03-01T10:02:36,99.59
2026-03-01T10:02:37,99.6
2026-03-01T10:02:38,99.58
2026-03-01T10:02:39,99.59
2026-03-01T10:02:40,99.56
2026-03-01T10:02:41,99.52
2026-03-01T10:02:42,99.49
2026-03-01T10:02:43,99.54
2026-03-01T10:02:44,99.5
2026-03-01T10:02:45,99.47
2026-03-01T10:02:46,99.44
2026-03-01T10:02:47,99.47
2026-03-01T10:02:48,99.44
2026-03-01T10:02:49,99.41
2026-03-01T10:02:50,99.37
2026-03-01T10:02:51,99.4
2026-03-01T10:02:52,99.44
